,bw,loglambda,contam_data,SM_IFsupnorm
0,5.0,-10.0,2.0,110.79076267197065
1,5.0,-10.0,6.0,113.01954458493894
2,5.0,-10.0,10.0,103.62890123972731
3,5.0,-10.0,14.0,77.63001817919908
4,5.0,-10.0,18.0,66.31781966430344
5,5.0,-10.0,22.0,54.25699761864765
6,5.0,-10.0,26.0,50.650854240459985
7,5.0,-10.0,30.0,43.47640149969643
8,5.0,-10.0,34.0,39.027401187865294
9,5.0,-10.0,38.0,40.25576076798103
10,5.0,-10.0,42.0,35.028529131218896
11,5.0,-10.0,46.0,22.611602225196812
12,5.0,-10.0,50.0,14.022042857039892
13,5.0,-10.0,54.0,12.464088261309485
14,5.0,-10.0,58.0,11.681585614753127
15,5.0,-10.0,62.0,11.858669479728267
16,5.0,-10.0,66.0,13.01872168360553
17,5.0,-10.0,70.0,12.065147920768506
18,5.0,-10.0,74.0,10.057622300417126
19,5.0,-10.0,78.0,9.127647384862433
20,5.0,-10.0,82.0,10.902803863655034
21,5.0,-10.0,86.0,14.572684439492809
22,5.0,-10.0,90.0,11.978885344891257
23,5.0,-10.0,94.0,16.90640671740174
24,5.0,-10.0,98.0,28.240934898126017
25,5.0,-10.0,102.0,32.89280504046316
26,5.0,-10.0,106.0,36.08528856627815
27,5.0,-10.0,110.0,34.13322216317649
28,5.0,-10.0,114.0,33.76822059939018
29,5.0,-10.0,118.0,32.05527289079438
30,5.0,-10.0,122.0,33.89950037886602
31,5.0,-10.0,126.0,33.03563244241638
32,5.0,-10.0,130.0,33.591364135852764
33,5.0,-10.0,134.0,36.89946455756221
34,5.0,-10.0,138.0,33.23715146116406
35,5.0,-10.0,142.0,35.3933080002211
36,5.0,-10.0,146.0,33.89191100659328
37,5.0,-10.0,150.0,34.343595770496755
38,5.0,-10.0,154.0,36.21624213826745
39,5.0,-10.0,158.0,33.07321887275824
40,5.0,-10.0,162.0,36.30389164981219
41,5.0,-10.0,166.0,34.51379440623084
42,5.0,-10.0,170.0,34.0291644754446
43,5.0,-10.0,174.0,33.41866628774624
44,5.0,-10.0,178.0,37.379282202427945
45,5.0,-10.0,182.0,34.28539313077553
46,5.0,-10.0,186.0,35.21138880395272
47,5.0,-10.0,190.0,35.84330311935114
48,5.0,-10.0,194.0,33.562378433628396
49,5.0,-10.0,198.0,35.13047066599972
50,5.0,-10.0,202.0,37.44974188928463
51,5.0,-10.0,206.0,34.57763424620176
52,5.0,-10.0,210.0,34.28418794644086
53,5.0,-10.0,214.0,34.74585338714963
54,5.0,-10.0,218.0,34.37546353469054
55,5.0,-10.0,222.0,34.573637524920045
56,5.0,-10.0,226.0,35.85702499123604
57,5.0,-10.0,230.0,34.97889837986929
58,5.0,-10.0,234.0,38.394978114112845
59,5.0,-10.0,238.0,34.95115553850769
60,5.0,-10.0,242.0,36.09526425105351
61,5.0,-10.0,246.0,35.72628195160166
62,5.0,-10.0,250.0,34.59955568651084
63,5.0,-10.0,254.0,39.24722283842086
64,5.0,-10.0,258.0,34.752719346240596
65,5.0,-10.0,262.0,34.72358214823319
66,5.0,-10.0,266.0,35.7132272391253
67,5.0,-10.0,270.0,37.92485564111414
68,5.0,-10.0,274.0,33.69340809674202
69,5.0,-10.0,278.0,35.24034081993142
70,5.0,-10.0,282.0,37.09588796059311
71,5.0,-10.0,286.0,35.689808753981445
72,5.0,-10.0,290.0,36.42871819168637
73,5.0,-10.0,294.0,36.61821336301341
74,5.0,-10.0,298.0,35.562138646970155
75,5.0,-10.0,302.0,37.606172958262036
76,5.0,-10.0,306.0,34.44090175815211
77,5.0,-10.0,310.0,37.38666595101047
78,5.0,-10.0,314.0,37.781237680714334
79,5.0,-10.0,318.0,33.38042810389564
80,5.0,-10.0,322.0,35.9897061230791
81,5.0,-10.0,326.0,37.98972201149978
82,5.0,-10.0,330.0,37.967848058666206
83,5.0,-10.0,334.0,37.775436989903575
84,5.0,-10.0,338.0,36.3004326816047
85,5.0,-10.0,342.0,36.47754002613965
86,5.0,-10.0,346.0,38.00772795510767
87,5.0,-10.0,350.0,36.46067919717048
88,5.0,-10.0,354.0,35.91859521636101
89,5.0,-10.0,358.0,39.15078258839192
90,5.0,-10.0,362.0,36.90660717938182
91,5.0,-10.0,366.0,37.29068611393362
92,5.0,-10.0,370.0,37.80583660954082
93,5.0,-10.0,374.0,37.809267937196154
94,5.0,-10.0,378.0,35.9374964997577
95,5.0,-10.0,382.0,36.82245896704866
96,5.0,-10.0,386.0,37.46986973418855
97,5.0,-10.0,390.0,39.22643759243145
98,5.0,-10.0,394.0,39.351444845144684
99,5.0,-10.0,398.0,37.08977612651717
100,5.0,-10.0,402.0,36.758404488152756
101,5.0,-10.0,406.0,37.290636975051655
